id,city,population,area,district,latitude,longitude
325,Stráž pod Ralskem,3977,21,okres Česká Lípa,50.7029923,14.8009646
326,Sezemice,3945,22,okres Pardubice,50.0663195,15.8526363
327,Kamenický Šenov,3919,10,okres Česká Lípa,50.7735891,14.4728675
328,Velké Bílovice,3907,25,okres Břeclav,48.8493878,16.892052
329,Velešín,3899,13,okres Český Krumlov,48.8294852,14.4625166
330,Paskov,3890,11,okres Frýdek-Místek,49.7317867,18.2903689
331,Větřní,3882,27,okres Český Krumlov,48.7742466,14.2861607
332,Mnichovice,3861,8,okres Praha-východ,49.9360148,14.7090689
333,Rajhrad,3852,9,okres Brno-venkov,49.0890629,16.6030548
334,Židlochovice,3826,5,okres Brno-venkov,49.0379775,16.6171639
335,Zlaté Hory,3796,85,okres Jeseník,50.2637622,17.3953643
336,Zbýšov,3784,6,okres Brno-venkov,49.1552431,16.3495114
337,Volary,3780,107,okres Prachatice,48.9095977,13.8883971
338,Kamenice nad Lipou,3766,31,okres Pelhřimov,49.303118,15.0754914
339,Brtnice,3758,74,okres Jihlava,49.3068037,15.6766872
340,Smržovka,3751,14,okres Jablonec nad Nisou,50.7384678,15.2463402
341,Rájec-Jestřebí,3737,15,okres Blansko,49.409145,16.6270226
342,Lanžhot,3733,54,okres Břeclav,48.7244326,16.9669476
343,Nepomuk,3732,12,okres Plzeň-jih,49.4861397,13.5818116
344,Kostelec nad Černými lesy,3723,17,okres Praha-východ,49.9918984,14.8557555
345,Sázava,3720,20,okres Benešov,49.9081553,16.6408975
346,Benešov nad Ploučnicí,3716,9,okres Děčín,50.7413413,14.3112047
347,Toužim,3705,98,okres Karlovy Vary,50.0607602,12.9849922
348,Lom,3700,16,okres Most,49.410445,13.9889872
349,Fryšták,3697,24,okres Zlín,49.2852044,17.6834631
350,Velké Opatovice,3685,25,okres Blansko,49.6126397,16.6794242
351,Dobřichovice,3675,10,okres Praha-západ,49.9275312,14.2743416
352,Nové Město pod Smrkem,3674,28,okres Liberec,50.9254734,15.2299746
353,Lázně Bělohrad,3665,28,okres Jičín,50.4290274,15.5827632
354,Jiříkov,3640,13,okres Děčín,50.9951393,14.5690963
355,Jablonné v Podještědí,3622,57,okres Liberec,50.7657554,14.7614324
356,Stod,3589,20,okres Plzeň-jih,49.6390886,13.1647362
357,Klecany,3589,10,okres Praha-východ,50.1756713,14.4117052
358,Zliv,3569,14,okres České Budějovice,49.0663495,14.3660772
359,Valtice,3557,47,okres Břeclav,48.7409486,16.7555364
360,Město Albrechtice,3529,65,okres Bruntál,50.1631183,17.5750385
361,Lázně Bohdaneč,3525,21,okres Pardubice,50.082904049999996,15.688584456601316
362,Březnice,3523,19,okres Příbram,49.5576246,13.9506049
363,Suchdol nad Lužnicí,3522,63,okres Jindřichův Hradec,48.8880893,14.8746872
364,České Velenice,3521,12,okres Jindřichův Hradec,48.7685057,14.9636772
365,Kralovice,3504,39,okres Plzeň-sever,49.9821831,13.4874108
366,Řevnice,3498,10,okres Praha-západ,49.9139823,14.2366056
367,Libochovice,3496,15,okres Litoměřice,50.4061126,14.044564
368,Buštěhrad,3464,7,okres Kladno,50.1558258,14.188817
369,Krásná Lípa,3453,31,okres Děčín,50.9145647,14.5062621
370,Štramberk,3438,9,okres Nový Jičín,49.591233,18.1170378
371,Dobrovice,3394,24,okres Mladá Boleslav,50.369326,14.9623322
372,Velká Bystřice,3384,9,okres Olomouc,49.5947568,17.3654414
373,Libčice nad Vltavou,3383,7,okres Praha-západ,50.1988879,14.3624086
374,Újezd u Brna,3368,13,okres Brno-venkov,49.1043477,16.7573682
375,Libušín,3346,9,okres Kladno,50.1681884,14.054581
376,Trmice,3332,6,okres Ústí nad Labem,50.6428488,13.9942622
377,Hrušovany nad Jevišovkou,3330,25,okres Znojmo,48.8299011,16.4022403
378,Staňkov,3317,20,okres Domažlice,48.9795234,14.9526982
379,Nová Bystřice,3281,81,okres Jindřichův Hradec,49.0193392,15.1029382
380,Veverská Bítýška,3270,13,okres Brno-venkov,49.27002245,16.428306100953186
381,Sadská,3234,16,okres Nymburk,50.1361194,14.9859741
382,Jablonné nad Orlicí,3189,4,okres Ústí nad Orlicí,50.0296366,16.6005927
383,Hanušovice,3169,36,okres Šumperk,50.0784174,16.9347166
384,Košťany,3166,24,okres Teplice,50.6550196,13.7546017
385,Opočno,3136,14,okres Rychnov nad Kněžnou,50.2676907,16.1145157
386,Žacléř,3134,21,okres Trutnov,50.6585674,15.9080271
387,Břidličná,3129,25,okres Bruntál,49.9116692,17.3710729
388,Uhlířské Janovice,3126,25,okres Kutná Hora,49.8807582,15.064492
389,Velké Pavlovice,3119,23,okres Břeclav,48.9044074,16.8164581
390,Ždírec nad Doubravou,3104,26,okres Havlíčkův Brod,49.6959567,15.8136021
391,Chrast,3098,17,okres Chrudim,49.9020497,15.9339624
392,Desná,3086,12,okres Jablonec nad Nisou,49.8075422,16.2240471
393,Kaznějov,3075,12,okres Plzeň-sever,49.8931303,13.3829479
394,Třemošnice,3065,19,okres Chrudim,49.8693093,15.5803962
395,Loket,3055,26,okres Sokolov,49.6554898,15.1168908
396,Velvary,3044,18,okres Kladno,50.2819312,14.2361619
