id,city,population,area,district
413,Budišov nad Budišovkou,2908,79,okres Opava
414,Úštěk,2901,74,okres Litoměřice
415,Smiřice,2899,10,okres Hradec Králové
416,Městec Králové,2877,19,okres Nymburk
417,Vejprty,2871,9,okres Chomutov
418,Sedlec-Prčice,2854,64,okres Příbram
419,Raspenava,2851,41,okres Liberec
420,Zákupy,2850,40,okres Česká Lípa
421,Jevíčko,2841,23,okres Svitavy
422,Hrádek,2831,6,okres Rokycany
423,Spálené Poříčí,2820,57,okres Plzeň-jih
424,Kunštát,2787,24,okres Blansko
425,Konice,2784,24,okres Prostějov
426,Javorník,2768,77,okres Jeseník
427,Dolní Bousov,2761,24,okres Mladá Boleslav
428,Koryčany,2756,41,okres Kroměříž
429,Český Dub,2752,22,okres Liberec
430,Rychnov u Jablonce nad Nisou,2749,12,okres Jablonec nad Nisou
431,Březová,2725,59,okres Sokolov
432,Hejnice,2721,38,okres Liberec
433,Plasy,2715,57,okres Plzeň-sever
434,Mladá Vožice,2704,31,okres Tábor
435,Kelč,2689,27,okres Vsetín
436,Golčův Jeníkov,2673,27,okres Havlíčkův Brod
437,Velké Hamry,2650,9,okres Jablonec nad Nisou
438,Rokytnice nad Jizerou,2640,36,okres Semily
439,Neveklov,2638,54,okres Benešov
440,Vyšší Brod,2621,69,okres Český Krumlov
441,Nové Sedlo,2599,16,okres Sokolov
442,Netolice,2587,26,okres Prachatice
443,Luže,2560,30,okres Chrudim
444,Počátky,2551,30,okres Pelhřimov
445,Rudolfov,2544,3,okres České Budějovice
446,Karolinka,2528,42,okres Vsetín
447,Nové Hrady,2524,79,okres České Budějovice
448,Chabařovice,2518,16,okres Ústí nad Labem
449,Jáchymov,2511,50,okres Karlovy Vary
450,Bohušovice nad Ohří,2505,8,okres Litoměřice
451,Zbiroh,2500,31,okres Rokycany
452,Ždánice,2481,20,okres Hodonín
453,Chýnov,2480,30,okres Tábor
454,Tovačov,2467,22,okres Přerov
455,Klobouky u Brna,2453,31,okres Břeclav
456,Dolní Kounice,2453,8,okres Brno-venkov
457,Meziměstí,2429,25,okres Náchod
458,Slavonice,2386,45,okres Jindřichův Hradec
459,Sobotka,2371,19,okres Jičín
460,Kryry,2345,39,okres Louny
461,Nechanice,2329,27,okres Hradec Králové
462,Žlutice,2305,53,okres Karlovy Vary
463,Plumlov,2304,11,okres Prostějov
464,Dašice,2303,17,okres Pardubice
465,Janovice nad Úhlavou,2270,28,okres Klatovy
466,Mirošov,2263,13,okres Rokycany
467,Nová Včelnice,2254,10,okres Jindřichův Hradec
468,Horní Benešov,2253,20,okres Bruntál
469,Horní Jiřetín,2241,39,okres Most
470,Kardašova Řečice,2199,45,okres Jindřichův Hradec
471,Mikulášovice,2189,25,okres Děčín
472,Solnice,2188,12,okres Rychnov nad Kněžnou
473,Město Touškov,2187,9,okres Plzeň-sever
474,Žebrák,2181,8,okres Beroun
475,Budyně nad Ohří,2175,33,okres Litoměřice
476,Luby,2146,30,okres Cheb
477,Veltrusy,2131,8,okres Mělník
478,Hranice,2129,31,okres Cheb
479,Ralsko,2117,170,okres Česká Lípa
480,Horní Planá,2088,127,okres Český Krumlov
481,Proseč,2084,34,okres Chrudim
482,Kopidlno,2080,29,okres Jičín
483,Borohrádek,2079,13,okres Rychnov nad Kněžnou
484,Týnec nad Labem,2063,15,okres Kolín
485,Svoboda nad Úpou,2062,7,okres Trutnov
486,Horní Jelení,2058,24,okres Pardubice
487,Hroznětín,2041,23,okres Karlovy Vary
488,Nový Knín,2039,29,okres Příbram
489,Rokytnice v Orlických horách,2022,40,okres Rychnov nad Kněžnou
490,Štíty,2021,29,okres Šumperk
491,Hrochův Týnec,2021,12,okres Chrudim
492,Jistebnice,2013,57,okres Tábor
493,Skalná,1999,23,okres Cheb
494,Němčice nad Hanou,1999,12,okres Prostějov
495,Hrob,1998,11,okres Teplice
496,Třebenice,1982,21,okres Litoměřice
497,Velký Šenov,1982,19,okres Děčín
498,Bochov,1980,95,okres Karlovy Vary
499,Pyšely,1971,12,okres Benešov
500,Zásmuky,1965,24,okres Kolín
501,Smečno,1962,9,okres Kladno
502,Plesná,1935,19,okres Cheb
503,Žandov,1895,27,okres Česká Lípa
504,Kouřim,1885,14,okres Kolín
505,Lučany nad Nisou,1859,13,okres Jablonec nad Nisou
506,Vroutek,1846,52,okres Louny
507,Radnice,1832,10,okres Rokycany
508,Horní Cerekev,1822,31,okres Pelhřimov
509,Lomnice nad Lužnicí,1778,18,okres Jindřichův Hradec
510,Hostomice,1765,28,okres Beroun
511,Libáň,1764,19,okres Jičín
512,Hrotovice,1751,20,okres Třebíč
513,Hoštka,1749,18,okres Litoměřice
514,Bělá nad Radbuzou,1745,83,okres Domažlice
515,Černovice,1733,36,okres Pelhřimov
516,Dolní Poustevna,1732,11,okres Děčín
517,Staré Město,1726,86,okres Šumperk
518,Dubá,1723,60,okres Česká Lípa
519,Seč,1720,36,okres Chrudim
520,Jesenice,1719,37,okres Rakovník
521,Vlachovo Březí,1713,19,okres Prachatice
522,Ronov nad Doubravou,1686,17,okres Chrudim
523,Nasavrky,1679,12,okres Chrudim
524,Švihov,1678,34,okres Klatovy
525,Oloví,1672,19,okres Sokolov
526,Olešnice,1672,12,okres Blansko
527,Březová nad Svitavou,1655,12,okres Svitavy
528,Plánice,1653,55,okres Klatovy
529,Jablonec nad Jizerou,1645,22,okres Semily
530,Železná Ruda,1631,79,okres Klatovy
531,Rožďalovice,1629,23,okres Nymburk
532,Teplice nad Metují,1626,56,okres Náchod
533,Kladruby,1618,48,okres Tachov
534,Mirovice,1614,22,okres Písek
535,Přimda,1584,50,okres Tachov
536,Poběžovice,1574,27,okres Domažlice
537,Bavorov,1572,35,okres Strakonice
538,Bystré,1540,14,okres Svitavy
539,Mýto,1538,17,okres Rokycany
540,Všeruby,1493,23,okres Plzeň-sever
541,Lázně Kynžvart,1474,32,okres Cheb
542,Kožlany,1451,29,okres Plzeň-sever
543,Husinec,1451,10,okres Prachatice
544,Kašperské Hory,1449,44,okres Klatovy
545,Mšeno,1431,26,okres Mělník
546,Strmilov,1425,30,okres Jindřichův Hradec
547,Harrachov,1421,36,okres Semily
548,Strážov,1417,35,okres Klatovy
549,Svratka,1403,14,okres Žďár nad Sázavou
550,Trhový Štěpánov,1387,28,okres Benešov
551,Chřibská,1349,15,okres Děčín
